,Idx,Sent.
32,160,"We need an FDR in Iraq, not a Ronald Reagan."
33,163,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball."
34,164,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.
35,165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard."
36,167,' Bush fails reporter's pop quiz on international leaders
37,172,"The front-runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller, a political reporter for WHDH-TV in Boston."
38,174,"Hiller asked Bush to name the leaders of Chechnya, Taiwan, India and Pakistan."
39,178,"Hiller asked, inquiring about Gen. Pervaiz Musharraf, who seized control of the country October 12."
40,179,"""Wait, wait, is this 50 questions?"" asked Bush."
41,180,"Hiller replied: ""No, it's four questions of four leaders in four hot spots."" . . ."
42,183,Gore released a statement Friday taking Bush to task for his comments on Pakistan's recent coup.
43,184,"""I find it troubling that a candidate for president in our country -- the world's oldest democracy -- would characterize the military takeover as ""good news,"" Gore said."
44,187,"""It is very dangerous for this country to condone the overthrow of democratically elected governments,"" said David Leavy, spokesman for the National Security Council."
45,188,"Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with ""taking office,"" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring ""stability!"""
46,200,Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then.
47,202,"This is what Edwards' campaign literature said about his positions: ""Edwards believes that the U.S. must be an active leader to help resolve conflicts, from reducing tensions between India and Pakistan to the peace process in Northern Ireland."
48,216,"It is estimated to have some 5,000 armed fighters, and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms, a sliver of Syrian territory that Israel annexed after the 1967 war."
49,223,"By the late 1990s, Iraq had no nuclear or biological weapons program, and had destroyed its chemical weapons stockpiles."
50,226,The bungling of post-war Iraq by the Bush administration created a weak and failed state.
51,228,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq, whose 15,000-strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards."
52,248,THE DAILY STAR publishes this commentary in agreement with Agence Global
53,249,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process
54,250,But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.
55,257,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga's four-day visit to India recently.
56,258,"According to Professor S D Muni, South Asia expert at the Jawaharal Nehru University, the two-year peace talks between Colombo and the Liberation Tigers of Tamil Eelam (LTTE) are stalemated."
57,259,"For that reason, he said, Kumaratunga's government was keen to beef up military preparedness with Indian support."
58,261,"And the Tigers look as if they are on the brink of launching another offensive,"" Muni told IPS."
59,262,Colombo held six rounds of talks with the Tigers between September 2002 and March 2003.
60,264,Kumaratunga's India tour preceded a three-day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002.
61,265,"Petersen held discussions with both Kumaratunga and the reclusive LTTE leader Velupillai Prabhakaran in the rebel stronghold of Kilinochchi without success, and chief Tamil rebel negotiator Anton Balasingham and Norwegian envoy Erik Solheim held closed-door talks at the international airport late Saturday in an effort to keep the salvage effort on track, diplomatic sources said."
62,268,"According to former Indian army general A S Kalkat, the difficulty for Kumaratunga's government lay in the fact that the LTTE had become a de jure power in the north and east of the island and was running every aspect of civil administration in the areas within its control."
63,269,A veteran of India's military intervention in the Jaffna peninsula to help implement the 1987 Indo-Sri Lanka Peace Accord - which ambitiously provided for the disarming of the formidable LTTE - Kalkat said the new defense deal would essentially be a reiteration of the older one minus its military commitment.
64,270,"Kalkat, who currently chairs the independent US-based International Council on Conflict Resolution, said despite the failure of the Indian army to disarm or even subdue the Tigers, India remained the only power capable of influencing the course of the current peace talks."
65,271,"""The Norwegians mean well but their role is limited to that of honest broker and the LTTE is keenly aware that they do not have the power [unlike India] to underwrite any arrangement,"" Kalkat told IPS in an interview."
66,273,"Under the accord, a new northeastern provincial council was formed and the Indian army was deployed as peacekeepers in the north and east."
67,275,"About 1,200 Indian soldiers were killed during this phase of the conflict."
68,276,"India had to pull back its forces from Sri Lanka in 1989 following the election of Ranasinghe Premadasa, a strong critic of Indian mediation."
69,277,"Last June, an international initiative led by Japan to persuade the LTTE to come back to the negotiating table failed despite an aid package offer of US$4.5 billion."
70,279,"He complained about the ""visible lack of progress"" and reaching an impasse in talks with both sides."
71,281,But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.
72,284,"She added that recent visits to the island by India's top military brass including army chief General Nirmal Chander Vij have ""caused apprehension among Tamils that preparations are under way for another war in the island""."
73,285,"But Kalkat pointed out that India would be ill-advised to be involved again, militarily, with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka's Jaffna peninsula by the narrow Palk Straits."
74,293,Musharraf calls the bluff
75,298,The reality is that India is no longer the enemy of choice for the people of Pakistan.
76,300,"Realists, and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott, who have long sought to divest India of its defensive capability against another nuclear power in Asia, understand the only feasible solution for Kashmir is the acceptance of the status quo."
77,303,"Bill Clinton understood this at the end of his term in office yet, under Colin Powell (who appears to have an affinity for generals active in politics), the pendulum of U.S. policy has once again swung toward a quixotic effort to prize at least the Valley of Kashmir loose from India."
78,317,"Despite many wrinkles, India remains a part-democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op-ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly."
79,319,"The reason for this is that India is emerging as an alternative investment destination to China, hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea."
80,329,We all know that John Kerry served in Vietnam.
81,332,"During his time in the Guard, George Bush flew the F-102 Delta Dagger fighter-interceptor."
82,333,The F-102 saw service in the Vietnam theater between March 1962 and December 1969.
83,334,"During this time, F-102 squadrons were based out of Tan Son Nhut, Da Nang and Bien Hoa in Vietnam, and Udorn and Don Muang in Thailand."
84,342,What follows is the text of an e-mail sent to me by a friend of mine (thanks to Dave Manzano).
85,353,The future president joined the Guard in May 1968.
86,363,"After training, Bush kept flying, racking up hundreds of hours in F-102 jets."
87,365,"At the time, guardsmen were required to accumulate a minimum of 50 points to meet their yearly obligation."
88,366,"According to records released earlier this year, Bush earned 253 points in his first year, May 1968 to May 1969 (since he joined in May 1968, his service thereafter was measured on a May-to-May basis)."
89,367,Bush earned 340 points in 1969-1970.
90,368,"[In other words, Bush earned enough points to satisfy the requirements for his entire six year hitch in 1969-1970 alone."
91,370,He earned 137 points in 1970-1971.
92,371,And he earned 112 points in 1971-1972.
93,372,"The numbers indicate that in his first four years, Bush not only showed up, he showed up a lot."
94,374,"That brings the story to May 1972 — the time that has been the focus of so many news reports — when Bush “deserted” (according to anti-Bush filmmaker Michael Moore) or went “AWOL” (according to Terry McAuliffe, chairman of the Democratic National Committee)."
95,375,Bush asked for permission to go to Alabama to work on a Senate campaign.
96,376,His superior officers said OK.
97,377,"Requests like that weren’t unusual, says retired Col. William Campenni, who flew with Bush in 1970 and 1971."
98,378,"“In 1972, there was an enormous glut of pilots,” Campenni says."
99,383,"From May 1972 to May 1973, he earned just 56 points — not much, but enough to meet his requirement."
100,385,"In June and July of 1973, he accumulated 56 points, enough to meet the minimum requirement for the 1973-1974 year."
101,389,"During his service, Bush received high marks as a pilot."
102,390,A 1970 evaluation said Bush “clearly stands out as a top notch fighter interceptor pilot” and was “a natural leader whom his contemporaries look to for leadership.”
103,391,A 1971 evaluation called Bush “an exceptionally fine young officer and pilot” who “continually flies intercept missions with the unit to increase his proficiency even further.”
104,392,And a 1972 evaluation called Bush “an exceptional fighter interceptor pilot and officer.”
105,397,"The Kerry camp blames Bush for the Swift boat veterans’ attack, but anyone who has spent much time talking to the Swifties gets the sense that they are doing it entirely for their own reasons."
106,406,His column appears in The Hill each week.
107,408,I suspect the streets of Baghdad will look as if a war is looming this week.
108,409,"There is no doubt that many Iraqis regard the date of 30 January as a day of renewed hope, one they have been awaiting all their lives, but at the same time, many others are already dreading it."
109,415,"Sheikh Naji Al-Abbudi, a spokesman for Sistani, affirmed the claims that the Grand Ayatollah is backing the United Iraqi Coalition list."
110,417,"Al-Abbudi stated that ""His Emminence"" decided to openly support the list because ""others"" (obviously a reference to Allawi) have been abusing official state positions and media outlets in their campaigning."
111,429,The Communist party has the largest number of registered party members in the country and can be considered as the oldest popular political party in Iraq.
112,432,"Several candidates were assassinated and targeted these last two weeks, others have been forced under threats to withdraw and to follow the example of the Islamic party."
113,434,"I had an interesting conversation with a middle-aged taxi driver who used to live in Fallujah and is now at relatives in Amiriya, Baghdad."
114,436,He described Allawi's face as that of a f*ed horse and he dismissed the whole government as a band of thieves and traitors.
115,438,He said that resistance was the only commonsense solution.
116,440,Sunni Iraqis contend that elections are impossible to hold under occupation.
117,444,He said that they have the training and the funding as well as the support of neighbouring and regional governments.
118,445,"I concur that Ba'athists and former security forces are capable of immediately controlling at least 5 out of 18 governorates, along with the capital, if Americans are to be removed from the picture entirely."
119,454,"The Al-Bu Nimr in Ramadi and Al-Qaim rose in arms against Saddam in the mid-nineties following the execution of Thamir Madhlum Al-Dulaymi, an Air Force general belonging to their tribe."
120,458,I believe national reconciliation to be the only path forward to a new Iraq.
121,465,I thought the US government was looking for me.
122,478,"They happened in the Philippines which, like Pakistan, is an important and vulnerable node for the business which intelligence agencies and terrorist organizations conduct with each other."
123,480,"The bombings implicated Muslims, and exacerbated regional tensions which the Bush regime and its friends wearing the brass in the Philippine military sought to exploit."
124,484,"I doubt he will be extradited to Venezuela, which is the only way that question could be answered with a Yes."
125,485,"I expect it will be determined that, under ""Strong Man"" Hugo Chavez, Posada could not be guaranteed a fair trial."
126,492,"His case threatens the consensus fiction of the ""War on Terror."""
127,494,"Another connection to Philippine terror and weapons smuggling- dating from the 1980s- is alleged in the book Disposable Patriot, by Jack Terrell."
128,495,"Terrell, a CIA asset originally recruited for the Contra effort, identifies the man attempting to recruit him into the Philippine scheme as Oliver North..."
129,496,I seem to recall the object was to smuggle explosives.
130,499,Peter Dale Scott includes an account of how Terrell's whistleblowing was stifled by them in his book Cocaine Politics.
131,502,They needed someone that could convince the jury they had been able to see all relevant documents in CIA files on Wilson.
132,507,"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA."""
133,508,"The Briggs Declaration states that with one exception in 1972, Wilson did not work ""directly or indirectly"" for the CIA since retiring."
134,510,"Last week, Federal District Judge Lynn Hughes in Huston, Texas, threw out Wilson's two-decades old conviction."
135,515,"Former Pastor, Deputy Implicated In Church Child Sex Abuse"
136,517,"Sheriff's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula, La., church."
137,518,"Austin Aaron Bernard III, 36, was arrested on a charge of aggravated rape of a child under the age of 13."
138,519,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.
139,520,"Tangipahoa Parish sheriff's deputy Christopher Blair Labat, 24, was booked Tuesday on one count of aggravated rape and one count of crime against nature."
140,525,"Yesterday evening, the Posada story was featured in the public television news show in Germany (ARD, Tagesthemen)."
141,526,"The newly released papers, showing him complicit in the airliner bombing, were mentioned"
142,532,I like yuor blog.
143,552,"The Only Catch Is That You HAVE To Have An Income ABOVE $21,000...... And......You HAVE To Follow The Easy Instructions Provided To You."
144,565,"Information pointing in this direction came to light after the December 26 tsunami, which took a heavy toll on the Andamans."
145,566,"Correspondents who flocked in to cover the tsunami found they also had another story - the miserable security situation surrounding the Indian navy's Far Eastern Naval Command, now being established along with India's ""blue water navy""."
146,571,The drugs and arms travel in all directions.
147,575,"A recent report by a journalist from Port Blair, in the Andamans, quoted an unnamed official saying that foreigners from Myanmar, Bangladesh and Sri Lanka have permanently settled in the islands, using fake Indian ration cards, while citizens of Thailand, China, Indonesia and Malaysia have migrated temporarily to plunder the natural resources and leave."
148,576,"""Port Blair, Havelock Islands, Diglipur, Middle Nicobar, Campbell's Bay, Neil Islands and Rangott are mostly overrun by foreigners,"" he said."
149,577,"An official estimate issued in 2003 suggests there are 50,000 ""foreigners"" in the Andaman Islands, but unofficial figures are much higher than this."
150,580,"The presence of the Sea Tigers in the area with guns, cash and drugs makes the situation extremely dangerous."
151,581,"Reports from Port Blair make it evident that New Delhi gets little on-the-ground intelligence, and the Indian Coast Guard is grossly unequipped to deal with the surge of illegal migrants to the islands."
152,584,"These islands sit aside the vital sea lanes of the Strait of Malacca, through which 300 tankers and merchant ships pass daily, bringing in oil for the Far East and Southeast Asia."
153,594,"In 2001, according to Indian army officials, security forces launched a wide-ranging operation in the 300-some inhabited islands neighboring Andaman and Nicobar, and found huge caches of arms."
154,595,"The arms were said to belong to the LTTE and ""other terrorist groups""."
155,596,The search-and-destroy operation was carried out by the Indian government after repeated requests from Colombo.
156,598,The biggest LTTE maritime disaster was reported in the now-defunct Asiaweek in 2001.
157,599,"A shipment of weapons, ammunition and explosives, believed to have been purchased from Cambodia and worth several million dollars, left the port of Phuket in Thailand in early February 2001 aboard the freighter Comex-Joux 3."
158,601,On its journey across the Bay of Bengal the freighter was tracked by the Indian navy and Orissa-based spy planes of India's Aviation Research Center; it was intercepted by Indian naval vessels off Sri Lanka's east coast.
159,603,"In 1997, the Thai navy reported the interception of a 16-meter boat after a chase off the Thai port of Ranong, and the confiscation of two tons of weapons and ammunition."
160,608,"Until 1995 the LTTE maintained a base at Twante, an island off the coat of Myanmar, west of the Andaman islands."
161,610,A Sri Lanka-born Tamil with a Norwegian passport was arrested by Thai authorities in 2000 for his links with the LTTE.
162,618,"A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos, Cambodia and Thailand into Chittagong, from where they are transported northward by land to Bhutan."
163,619,"The route from Kalikhola in Bhutan to Cox's Bazar passes through northern Bengal, Assam and Meghalaya, and on into Chittagong."
164,621,"India's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal."
165,623,"The Ten Degree Channel divides the Andamans, which are the larger and more heavily populated northern islands, from the 20 or so Nicobar Islands in the south."
166,626,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington-based EIR and the New Delhi-based Indian Defense Review.
167,630,Pakistani officials claim there are as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad.
168,631,"“There have no business being there unless they are undermining Pakistan,’’ says a Pakistani official."
169,632,Both India and Afghanistan deny the claim.
170,633,"‘’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,” says Amrullah Saleh the head of Afghanistan’s National Security Directorate. ]"
171,639,"Nobody should feel a looser in Afghanistan,’’ President Hamid Karzai told Pakistan’s English daily The Nation."
172,644,"Western and Afghan diplomats intimately involved with the meeting, said Bush pushed Musharraf hard on reigning in the Taliban so the elections could take place peacefully."
173,646,Bush is reported to have asked a flustered Musharraf.
174,649,"‘’It was the first time that Bush totally focused on the Taliban threat rather than Al Qaeda with the Pakistanis,’’ says a Western diplomat."
175,650,"‘’Bush was very well briefed before the meeting,’’ the diplomat said."
176,651,"An Afghan official at the meeting added, ‘’The Americans now realise that the Taliban are a bigger threat to our security than Al Qaeda.’’"
177,653,"‘’President Musharraf promised to help us and cooperate with us on curbing terrorist activity by the Taliban,’’ says Karzai."
178,657,US and NATO military officers in Kabul say it is too early to say whether Bush’s tough message was instrumental in persuading Musharraf and the ISI to pressure the Taliban to restrain from disrupting the elections.
179,659,"‘’Pakistan now has a large force deployed in Baluchistan which was not there before,’’ says Lt. General David Barno."
180,660,"‘’There is much better tactical cooperation between our forces on both sides of the border, but the movement of Taliban still goes on both ways,’’ he adds."
181,663,At the same time the US remains oblivious of the serious problems and political fallout which the army is facing in its operations in Waziristan.
182,673,Afghan officials welcomed the appointment on October 3 of Lt. General Ashfaq Kiyani as the new ISI chief.
183,677,Pakistani officials claim there are as many as 42 RAW agents based in Kandahar and another 12 in Jalalabad.
184,678,"“There have no business being there unless they are undermining Pakistan,’’ says a Pakistani official."
185,679,Both India and Afghanistan deny the claim.
186,680,"‘’Should Pakistan show us any evidence of an Indian hand using Afghan soil to work against our neighbours we will take it very seriously,” says Amrullah Saleh the head of Afghanistan’s National Security Directorate."
187,683,"In a major regional shift reflecting the newly strengthened position of Karzai, Iran, Russia and India which have traditionally backed the Tajik dominated former Northern Alliance made strenuous efforts to convince presidential candidate Younis Qanooni to strike a deal with Karzai before the elections and not to oppose Karzai."
188,684,Iran in particular feared that Qanooni would loose and then be politically isolated from the mainstream.
189,691,Iranian officials say they made no objections to Khan’s ouster because they want to strengthen Karzai’s campaign against warlords.
190,692,"At a time of heightened tensions between Tehran and Washington over Iran’s nuclear weapons program and calls by neo-conservatives in Washington that a second Bush term should deal with Iran aggressively, the Iranians fear that Shindand could be used as a listening post, spying facility and even a launching pad for any future US actions against Iran."
191,693,Afghan officials say the Americans have moved over 100 Special Forces and helicopters to Shindand.
192,695,"‘’We have a very small number of forces in Shindand with a few helicopters,’’ says Barno."
193,698,"So far what they have done together has been good for us and that’s how we would like to keep it’’, says Karzai."
194,701,"In a highly significant move Afghan Pashtun tribes along the Pakistan border warned the Taliban in Quetta and Chaman that if they try and disrupt the elections, they would be resisted."
195,702,Many Taliban living in Afghanistan voted for President Karzai.
196,716,Bush did no such thing.
197,721,"He gave no service to anyone, risked nothing, and did not even slack off efficiently."
198,724,"(Newsweek reported that Bush commanded his cabinet, ""Let heads roll!"")"
199,726,Bush has a sadistic streak.
200,734,"But he suffers the severe effects of the aftermath, and we are all suffering along with him now, since he is the most powerful man in the world."
201,735,"We all know by now that Bush did not even do his full service with the Texas Air National Guard, absenting himself to work on the Alabama senate campaign of Winton ""Red"" Blount."
202,738,"This little-noted interview with Blount's nephew Murph Archibald, which appeared on National Public Radio's ""All Things Considered on March 30, 2004, gives a devastating insight into what it was like to have to suffer through Bush in that period."
203,741,"For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there."
204,742,"There is one place in Alabama where Mr. Bush was present nearly every day: the headquarters in Montgomery of US Senate candidate Winton ""Red"" Blount."
205,744,NPR's Wade Goodwyn has this report about Mr. Bush's time on that campaign.
206,757,Blount's support of the party led him to be appointed Richard Nixon's postmaster general.
207,758,"In Washington, Blount became friends and tennis partners with Mr. Bush's father, then Congressman Bush."
208,759,"That was how 26-year-old Lieutenant Bush came to Montgomery, at his father's urging . . ."
209,762,"But throughout Alabama, there were Republicans and Democrats who wanted to help Red Blount."
210,764,"Groom says this job helped Mr. Bush understand how even in a statewide Senate campaign, politics are local."
211,766,"Archibald says that in a campaign full of dedicated workers, Mr. Bush was not one of them."
212,771,My overall impression was that he didn't seem as interested in the campaign as the other people who were working at the state headquarters.
213,779,He dated a beautiful young woman working on the campaign.
214,781,"In fact, he left the house he rented in such disrepair--with damage to the walls and a chandelier destroyed--that the Montgomery family who owned it still grumble about the unpaid repair bill."
215,782,"Archibald says Mr. Bush would come into the office and, in a friendly way, offer up stories about the drinking he'd done the night before, kind of as a conversation starter."
216,788,"And I thought it was really unusual that someone in their mid-20s would initiate conversations, particularly in the context of something as serious as a US senatorial campaign, by talking about their drinking the night before."
217,789,"I thought it unusual and, frankly, inappropriate."
218,808,The 99-tonne cache of AK47s was to have been secretly flown out from a US base in Bosnia.
219,810,Orders for the deal to go ahead were given by the US Department of Defense.
220,811,But the work was contracted out via a complex web of private arms traders .
221,813,It follows a separate probe claiming that thousands of guns meant for Iraq's police and army instead went to al-Qaeda .
222,814,"Amnesty chief spokesman Mike Blakemore said: ""It's unbelievable that no one can account for 200,000 assault rifles."
223,817,"But air traffic controllers in Baghdad have no record of the flights, which supposedly took off between July 2004 and July 2005."
224,818,"A coalition forces spokesman confirmed they had not received ""any weapons from Bosnia"" and added they were ""not aware of any purchases for Iraq from Bosnia""."
225,820,"A NATO spokesman said: ""There's no tracking mechanism to ensure they don't fall into the wrong hands."
226,821,"There are concerns that some may have been siphoned off."""
227,822,This year a newspaper claimed two UK firms were involved in a deal in which thousands of guns for Iraqi forces were re-routed to al-Qaeda.
228,832,The crime occurred in the sacristy adjoining the hospital chapel in downtown Toledo on the Saturday before Easter in 1980.
229,833,"Investigators said the nun, Margaret Ann Pahl, 71, was strangled and then stabbed, with nine wounds on her chest forming the shape of an inverted cross, a well-recognized Satanic symbol."
230,834,"An altar cloth was draped over her half-naked body, which was posed as if she had been sexually assaulted."
231,835,"""It was about how he could humiliate her the most,"" prosecutor Dean Mandros said in closing arguments."
232,836,"""He left a message for everyone to see ... maybe to God himself."""
233,837,"After the sentencing one of Robinson's tearful supporters ""turned to Claudia Vercellotti, a local leader of the Survivors Network for Those Abused by Priests [SNAP], who had helped reopen the case, and told her, 'I hope you rot in hell!'"""
234,847,Police and prosecutors have the tools.
235,862,"At weekend press conferences in Salt Lake City and Phoenix, FBI and state officials said Jeffs ""is considered armed and dangerous and may be traveling with armed bodyguards."""
236,867,"An editorial in the church-owned Deseret Morning News in Salt Lake City earlier this year acknowledged that ""the state's history, a conservative belief in free choice, and an unwillingness to stir up a hornet's nest in the national media have likely all contributed to the kid-glove approach lawmakers and law-enforcement officers have taken when dealing with polygamous communities."""
237,870,"""There's no tracking mechanism in place""?!?!?"
238,877,i count like 14 explosive headlines.
239,884,It is the marrying off of young girls to older men often close relatives that enfurates me.
240,887,Husbands marry mothers and teen daughters at the same time.
241,890,The doctor begs them to stop intermarrying but they say they have to keep the blood pure.
242,894,"no one was charged for forced marriage, only the beating."
243,903,I suppose that it's damn lucky for the GOP that she is populated with gullible idiots.
244,905,"The Pentagon is bypassing official US intelligence channels and turning to a dangerous and unruly cast of characters in order to create strife in Iran in preparation for any possible attack, former and current intelligence officials say..."
245,907,"A country deserves the leaders it has, my friends..."
246,910,"(''We have three generations of martyrs: grandmothers, mothers, daughters.'')"
247,912,Family visits were allowed on Thursday nights and Fridays.
248,916,"''Every morning and night, the kids, beginning as young as 1 and 2, had to stand before a poster of Massoud and Maryam, salute them and shout praises to them,'' Nadereh Afshari, a former Mujahedeen deep-believer, told me."
249,917,"Afshari, who was posted in Germany and was responsible for receiving Mujahedeen children during the gulf war, said that when the German government tried to absorb Mujahedeen children into their education system, the Mujahedeen refused."
250,918,"Many of the children were sent to Mujahedeen schools, particularly in France."
251,919,"The Rajavis, Afshari went on to say, ''saw these kids as the next generation's soldiers."
252,920,They wanted to brainwash them and control them.''
253,923,"One has to wonder whether the bright fellows in our government and military who set up the deals with these people don't know what they are, don't care, or know perfectly well."
254,925,SPLOID.com cited you on the topic of that priest conviction: http://www.sploid.com/news/2006/05/evil_priest_gui.php
255,937,It's become a guardian of morality -- not church morality; real morality.
256,938,"Praise be: Given the void in responsible behavior among governments, police, educational establishments and religions, the task of guiding our youth down the path of righteousness has fallen to... Satan"""
257,945,"You know, nature hates a void. :)"
258,947,"i agree, Hmmmmmm."
259,954,I detect the hissing lisp of the lying serpent in this article.
260,956,I think the jury's still out on exactly who did the brainwashing when in regard to the Columbine killers.
261,958,"The last I checked, the Satanists have a long way to go to catch up with the death and destruction dealt out by self-proclaimed (though false) Christians."
262,974,"They trust you and me to be befuddled by their actions, while they ""do as they wilt""."
263,980,One man's relentless search for his missing son led him to uncover one of the most shocking crimes in post-war Italy - a tale of satanism and violence that has gripped the country for more than a year.
264,981,"In January 1998 Fabio Tollis and Chiara Marino, both just 16, disappeared."
265,984,But their parents refused to accept this.
